Alzheimer’s Society of Peel | Health | Mississauga | Provides support programs, education and resources for individuals and families affected by dementia in Peel.
Big Brothers Big Sisters of Peel | Education | Brampton | Delivers mentoring programs that help children and youth build confidence and achieve success.
Boys and Girls Club of Peel | Education | Mississauga | Offers after‑school programs, recreation and leadership development for children and youth.
Burlington Food Bank | Hunger/Poverty | Burlington | Distributes groceries and food hampers to Burlington residents facing food insecurity.
Caledon Community Services | Social Services | Caledon | Provides food support, senior programs, transportation and community services for Caledon residents.
Canadian Mental Health Association – Peel | Health | Brampton | Offers mental health counselling, crisis support and community wellness services.
Catholic Family Services Peel‑Dufferin | Social Services | Mississauga | Provides counselling, family support and newcomer settlement services.
Community Care Durham | Social Services | Oshawa | Provides senior support, Meals on Wheels and community programs.
COTA Health | Health | Toronto | Supports adults with mental health challenges and brain injuries through community‑based programs.
Covenant House Toronto | Housing | Toronto | Provides shelter, healthcare and life‑skills programs for homeless and at‑risk youth.
Daily Bread Food Bank | Hunger/Poverty | Toronto | Supplies food to a network of agencies and advocates to end hunger in Toronto.
Dress for Success Toronto | Social Services | Toronto | Helps women achieve economic independence through professional clothing and career support.
Elizabeth Fry Society Peel‑Halton | Social Services | Mississauga | Supports and advocates for women involved in the justice system.
Family Transition Place | Social Services | Brampton | Offers shelter and counselling for survivors of domestic violence.
Food Banks Mississauga | Hunger/Poverty | Mississauga | Coordinates food distribution programs serving thousands of residents annually.
Fred Victor | Housing | Toronto | Provides shelters and supportive housing for people experiencing homelessness.
Furniture Bank | Social Services | Toronto | Supplies donated furniture to families transitioning out of poverty and homelessness.
Georgina Community Food Pantry | Hunger/Poverty | Georgina | Provides grocery assistance to residents in need in Georgina.
Good Shepherd Ministries | Housing | Toronto | Operates shelter and housing programs for homeless men in Toronto.
Habitat for Humanity GTA | Housing | Toronto | Builds affordable homes and supports low‑income families across the GTA.
Home Suite Hope | Housing | Burlington | Provides supportive housing and mentorship to single mothers.
Hospice Mississauga | Health | Mississauga | Provides palliative care and grief support.
Hospice Vaughan | Health | Vaughan | Provides palliative and bereavement services for Vaughan residents.
Humane Society of Burlington | Animals | Burlington | Provides shelter and adoption services for animals in Burlington.
Humane Society of Oakville & Milton | Animals | Oakville | Rescues, shelters and rehomes abandoned animals in Halton.
India Rainbow Community Services | Social Services | Brampton | Supports newcomers with settlement, counselling and integration programs.
ISSRA | Social Services | Mississauga | Provides culturally sensitive counselling and support to vulnerable families.
Markham Food Bank | Hunger/Poverty | Markham | Provides food assistance to low‑income Markham residents.
Markham Stouffville Hospital Foundation | Health | Markham | Raises funds to enhance healthcare services and equipment.
Milton Community Food Pantry | Hunger/Poverty | Milton | Distributes groceries twice monthly to Milton families in need.
Mississauga Humane Society | Animals | Mississauga | Volunteer‑run rescue providing care and adoption for homeless pets.
Mon Sheong Foundation | Health | Richmond Hill | Provides long‑term care and community services for seniors.
Muslim Food Bank & Community Services | Hunger/Poverty | Brampton | Provides halal food support to families.
Newmarket Charitable Foundation | Social Services | Newmarket | Funds local charities and community projects in Newmarket.
Oakville Community Foundation | Social Services | Oakville | Supports local charities through grants and philanthropic initiatives.
Ontario SPCA Durham | Animals | Whitby | Provides shelter and adoption services for animals in Durham Region.
Pathways to Education | Education | Toronto | Helps students in low‑income communities graduate through mentoring and tutoring.
Richmond Hill Community Food Bank | Hunger/Poverty | Richmond Hill | Provides emergency food support to families in Richmond Hill.
Seva Food Bank | Hunger/Poverty | Mississauga | Provides culturally appropriate food for Peel families.
Shelley Cares Foundation | Hunger/Poverty | Scarborough | Focuses on alleviating hunger by providing nutritious food baskets, community pantry services, and awareness programs for low-income residents
Simcoe Hall Settlement House | Hunger/Poverty | Oshawa | Operates a food bank and community support programs in Oshawa.
St. Mary’s Food Bank | Hunger/Poverty | Mississauga | Provides groceries and meals through multiple Mississauga locations.
St. Paul’s on‑the‑Hill Food Bank | Hunger/Poverty | Ajax | Provides food hampers to families in Ajax.
St. Vincent de Paul Peel North | Hunger/Poverty | Brampton | Provides emergency food and basic needs assistance.
The Housing Help Centre | Housing | Scarborough | Provides support and housing assistance to individuals and families facing homelessness or housing instability.
The Scott Mission | Hunger/Poverty | Toronto | Provides meals, shelter and community support for vulnerable Torontonians.
Toronto Foundation for Student Success | Education | Toronto | Supports public school students with nutrition and essential resources.
Toronto Humane Society | Animals | Toronto | Provides shelter and adoption services for animals.
United Way Greater Toronto | Social Services | Toronto | Funds and coordinates hundreds of community programs.
Upper Credit Humane Society | Animals | Halton Hills | No‑kill shelter rescuing animals in Halton Hills.
Vaughan Food Bank | Hunger/Poverty | Vaughan | Volunteer‑run food bank serving Vaughan residents.
YMCA of Greater Toronto | Social Services | Toronto | Provides youth, childcare and newcomer programs.
